,date,id,link,retweet,text,author
3756,26 May 2015,603278895119474688,/realDonaldTrump/status/603278895119474688,False,"Entrepreneurs: See yourself as victorious--look at the solution, not the problem.",DonaldTrump
3757,26 May 2015,603275253310169088,/realDonaldTrump/status/603275253310169088,False,If any candidate believes that with what we know today we still should have invaded Iraq then they are unqualified to be Commander-in-Chief.,DonaldTrump
3758,26 May 2015,603265744080625664,/realDonaldTrump/status/603265744080625664,False,Whether you think you can or think you can't---you are right. -- Henry Ford,DonaldTrump
3759,26 May 2015,603245110046896128,/realDonaldTrump/status/603245110046896128,False,My honor. https://twitter.com/bonjourtoby/status/603226768409956352 …,DonaldTrump
3760,26 May 2015,603168600304832512,/realDonaldTrump/status/603168600304832512,True,"""@kenbu1: @realDonaldTrump Waiting to hear you will run for President in 2016.""  Watch.",DonaldTrump
3761,26 May 2015,603167301920235520,/realDonaldTrump/status/603167301920235520,False,"I will be going to Trump Links at Ferry Point for the official opening of this long delayed  (but future NYC treasure) course. Great job ""D""",DonaldTrump
3762,25 May 2015,603024473743302656,/realDonaldTrump/status/603024473743302656,True,"""@sheveeta: Can't think of a better candidate. -Donald Trump""",DonaldTrump
3763,25 May 2015,603023241511329792,/realDonaldTrump/status/603023241511329792,True,"""@jkapper15: @realDonaldTrump please deeply consider running for office. Cannot think of a better candidate #Trump2016""  Thanks.",DonaldTrump
3764,25 May 2015,603022682666442752,/realDonaldTrump/status/603022682666442754,True,"""@GirlCant_helpit: DonaldTrump  Everyone wants you to run. Why don't you? You would be perfect. President Donald Trump has a good ring to it",DonaldTrump
3765,25 May 2015,603020947751329792,/realDonaldTrump/status/603020947751329793,True,"""@rtesta: Like I said before we need to run the country more like a business. Who better than @realDonaldTrump to turn us around. #Trump2016",DonaldTrump
3766,25 May 2015,602995572166041600,/realDonaldTrump/status/602995572166041601,True,"""@JohnFromCranber: Donald Trump: ""Never a Greater Enemy to Israel Than Obama"" http://www.wnd.com/2014/11/trump-never-a-greater-enemy-to-israel-than-obama/ … Iran/Nukes",DonaldTrump
3767,25 May 2015,602992523989094400,/realDonaldTrump/status/602992523989094400,True,"""@persdevquotes: « I try to learn from the past, but I plan for the future by focusing exclusively on the present -  Donald Trump",DonaldTrump
3768,25 May 2015,602987096064659456,/realDonaldTrump/status/602987096064659456,False,The middle-class has become the new poor in this country and our incompetent politicians are unable to do anything about it.They don't care!,DonaldTrump
3769,25 May 2015,602778782202724352,/realDonaldTrump/status/602778782202724352,False,I will be interviewed on @foxandfriends at 7:00 A.M.,DonaldTrump
3770,24 May 2015,602571404861636608,/realDonaldTrump/status/602571404861636608,False,"I would like to wish everyone, including all haters and losers (of which, sadly, there are many) a truly happy and enjoyable Memorial Day!",DonaldTrump
3771,23 May 2015,602309292826468352,/realDonaldTrump/status/602309292826468353,False,"Nobody understands politicians like I do - all talk and no action. They will never get our country where it needs to be, truly great again!",DonaldTrump
3772,23 May 2015,602296438907871232,/realDonaldTrump/status/602296438907871234,True,"""@sintianiej: Yes, this is our next president - Donald Trump. In 2016 election America vote DJT pic.twitter.com/6ZJqyKzz5n""",DonaldTrump
3773,23 May 2015,602292429597888512,/realDonaldTrump/status/602292429597888512,False,"Think BIG! You are going to be thinking anyway, so you might as well  think BIG!",DonaldTrump
3774,23 May 2015,602291828696719360,/realDonaldTrump/status/602291828696719360,True,"""@republicbuzz: Is the White House Big Enough for Donald Trump? | RealClearPolitics http://dlvr.it/9xZXFl  pic.twitter.com/AekvGVMEiB""",DonaldTrump
3775,23 May 2015,602291740113039360,/realDonaldTrump/status/602291740113039361,True,"""@Trading: Money was never a big motivation for me, except as a way to keep score. The real excitement is playing the game - Donald Trump",DonaldTrump
3776,23 May 2015,602291292618530816,/realDonaldTrump/status/602291292618530816,True,"""@JDCorbinPM: VIDEO: Donald Trump Issues Epic Promise to #Christians if Elected President http://conservativetribune.com/trump-issues-epic-promise/ …""",DonaldTrump
3777,23 May 2015,602260364546408448,/realDonaldTrump/status/602260364546408448,True,"""@thehill: Donald Trump: ""I have created tens of thousands of jobs"" http://hill.cm/1XwJEwb  pic.twitter.com/HUTV6CDphY""",DonaldTrump
3778,23 May 2015,602260040611921920,/realDonaldTrump/status/602260040611921920,True,"""@ABCPolitics: Donald Trump speaks on 2016ers, says Jeb Bush ""stumbling.” http://abcn.ws/1JApHhZ  pic.twitter.com/QGqSKUielq""",DonaldTrump
3779,23 May 2015,602259624125931520,/realDonaldTrump/status/602259624125931520,True,"""@theblaze: Donald Trump says he’d be the “greatest representative of the Christians"" if elected president http://www.theblaze.com/stories/2015/05/20/donald-trump-has-a-major-pledge-for-christians-across-the-globe-if-he-becomes-president/ …""",DonaldTrump
3780,23 May 2015,602259534384603136,/realDonaldTrump/status/602259534384603136,True,"""@FoxNewsInsider: .@realDonaldTrump: 'I Want to Make the Country Great Again' http://insider.foxnews.com/2015/05/20/donald-trump-i-want-make-country-great-again … @megynkelly pic.twitter.com/NuJp7d4hle""",DonaldTrump
